,designation,period,provenience
P224998,"TIM 10, 020",Old Babylonian,not entered
P224999,"TIM 10, 021",Old Babylonian,uncertain
P225000,"TIM 10, 022",Old Babylonian,not entered
P225001,"TIM 10, 023",Old Babylonian,not entered
P225002,"TIM 10, 024",Old Babylonian,not entered
P225003,"TIM 10, 025",Old Babylonian,not entered
P225004,"TIM 10, 026",Old Babylonian,not entered
P225005,"TIM 10, 027",Old Babylonian,not entered
P225006,"TIM 10, 028",Old Babylonian,not entered
P225007,"TIM 10, 029",Old Babylonian,not entered
P225008,"TIM 10, 030",Old Babylonian,not entered
P225009,"TIM 10, 032",Old Babylonian,not entered
P225010,"TIM 10, 033",Old Babylonian,not entered
P225011,"TIM 10, 034",Old Babylonian,not entered
P225012,"TIM 10, 035",Old Babylonian,not entered
P225013,"TIM 10, 036",Old Babylonian,not entered
P225014,"TIM 10, 037",Old Babylonian,not entered
P225015,"TIM 10, 038",Old Babylonian,not entered
P225016,"TIM 10, 039",Old Babylonian,not entered
P225017,"TIM 10, 040",Old Babylonian,not entered
P225018,"TIM 10, 041",Old Babylonian,not entered
P225019,"TIM 10, 042",Old Babylonian,not entered
P225020,"TIM 10, 043",Old Babylonian,not entered
P225021,"TIM 10, 044",Old Babylonian,not entered
P225022,"TIM 10, 045",Old Babylonian,not entered
P225023,"TIM 10, 046",Old Babylonian,not entered
P225024,"TIM 10, 047",Old Babylonian,not entered
P225025,"TIM 10, 048",Old Babylonian,not entered
P225026,"TIM 10, 049",Old Babylonian,not entered
P225027,"TIM 10, 050",Old Babylonian,not entered
P225028,"TIM 10, 051",Old Babylonian,not entered
P225029,"TIM 10, 052",Old Babylonian,not entered
P225030,"TIM 10, 053",Old Babylonian,not entered
P225031,"TIM 10, 054",Old Babylonian,not entered
P225032,"TIM 10, 055",Old Babylonian,not entered
P225033,"TIM 10, 056",Old Babylonian,not entered
P225034,"TIM 10, 057",Old Babylonian,not entered
P225035,"TIM 10, 058",Old Babylonian,not entered
P225036,"TIM 10, 059",Old Babylonian,not entered
P225037,"TIM 10, 060",Old Babylonian,not entered
P225038,"TIM 10, 061",Old Babylonian,not entered
P225039,"TIM 10, 062",Old Babylonian,not entered
P225040,"TIM 10, 063",Old Babylonian,not entered
P225041,"TIM 10, 064",Old Babylonian,not entered
P225042,"TIM 10, 066",Old Babylonian,not entered
P225043,"TIM 10, 067",Old Babylonian,not entered
P225044,"TIM 10, 068",Old Babylonian,not entered
P225045,"TIM 10, 069",Old Babylonian,not entered
P225046,"TIM 10, 070",Old Babylonian,not entered
P225047,"TIM 10, 071",Old Babylonian,not entered
P225048,"TIM 10, 072",Old Babylonian,not entered
P225049,"TIM 10, 073",Old Babylonian,not entered
P225050,"TIM 10, 074",Old Babylonian,not entered
P225051,"TIM 10, 075",Old Babylonian,not entered
P225052,"TIM 10, 076",Old Babylonian,not entered
P225053,"TIM 10, 077",Old Babylonian,Shaduppum
P225054,"TIM 10, 078",Old Babylonian,not entered
P225055,"TIM 10, 079",Old Babylonian,not entered
P225056,"TIM 10, 080",Old Babylonian,not entered
P225057,"TIM 10, 081",Old Babylonian,not entered
P225058,"TIM 10, 082",Old Babylonian,not entered
P225059,"TIM 10, 083",Old Babylonian,not entered
P225060,"IM 052881,c",Old Babylonian,uncertain
P225061,"TIM 10, 085",Old Babylonian,not entered
P225062,"TIM 10, 086",Old Babylonian,not entered
P225063,"TIM 10, 087",Old Babylonian,not entered
P225064,"TIM 10, 088",Old Babylonian,not entered
P225065,"TIM 10, 089",Old Babylonian,not entered
P225066,"TIM 10, 090",Old Babylonian,not entered
P225067,"TIM 10, 091",Old Babylonian,not entered
P225068,"TIM 10, 092",Old Babylonian,not entered
P225069,"TIM 10, 093",Old Babylonian,not entered
