,designation,period,provenience
P365256,"CT 12, pl. 18-19, BM 038374",Neo-Babylonian,Borsippa
P365260,"CT 12, pl. 24, BM 038129",Neo-Babylonian,Borsippa
P365261,"CT 12, pl. 25-26, BM 038128",Neo-Babylonian,Borsippa
P365263,"CT 12, pl. 27, BM 093042",Late Babylonian,Sippar
P365266,"CT 12, pl. 30, BM 038178",Neo-Babylonian,Babylon
P365268,"CT 12, pl. 34-35, K 00197",Neo-Assyrian,Nineveh
P365270,"CT 12, pl. 38, K 00244",Neo-Assyrian,Nineveh
P365271,"CT 12, pl. 39, K 07697",Neo-Assyrian,Nineveh
P365272,"CT 12, pl. 40-41, K 00039",Neo-Assyrian,Nineveh
P365273,"CT 12, pl. 42-43, K 04230",Neo-Assyrian,Nineveh
P365274,"CT 12, pl. 44, K 04403",Neo-Assyrian,Nineveh
P365275,"CT 12, pl. 45, K 04408",Neo-Assyrian,Nineveh
P365276,"CT 12, pl. 46-49, K 00040",Neo-Assyrian,Nineveh
P365301,"CT 19, pl. 01, K 02047",Neo-Assyrian,Nineveh
P365314,"CT 14, pl. 01, K 00071a",Neo-Assyrian,Nineveh
P365315,"CT 14, pl. 02, K 13615",Neo-Assyrian,Nineveh
P365316,K 04205 + K 04325 + K 13692 + Rm 0474,Neo-Assyrian,Nineveh
P365317,"CT 14, pl. 05, K 04368",Neo-Assyrian,Nineveh
P365318,"CT 14, pl. 06, K 04318",Neo-Assyrian,Nineveh
P365319,"CT 14, pl. 07, K 04206 +",Neo-Assyrian,Nineveh
P365320,"CT 14, pl. 08, K 04330",Neo-Assyrian,Nineveh
P365324,"CT 14, pl. 13, K 09950",Neo-Assyrian,Nineveh
P365325,"CT 14, pl. 14, K 04396",Neo-Assyrian,Nineveh
P365336,"CT 14, pl. 29, K 08667 + CT 19, pl. 50, K 08727",Neo-Assyrian,Nineveh
P365383,"CT 19, pl. 01, K 04200",Neo-Assyrian,Nineveh
P365384,"CT 19, pl. 02, K 04256",Neo-Assyrian,Nineveh
P365385,"CT 19, pl. 03-04, K 00207 +",Neo-Assyrian,Nineveh
P365387,"CT 19, pl. 05, K 04353",Neo-Assyrian,Nineveh
P365388,"CT 19, pl. 06, K 05973",Neo-Assyrian,Nineveh
P365389,"CT 19, pl. 07, K 08670",Neo-Assyrian,Nineveh
P365390,"CT 19, pl. 08, Rm 2, 587",Neo-Assyrian,Nineveh
P365391,"CT 19, pl. 09, K 08660",Neo-Assyrian,Nineveh
P365392,"CT 19, pl. 10, K 04244 +",Neo-Assyrian,Nineveh
P365393,"CT 19, pl. 11, K 10085",Neo-Assyrian,Nineveh
P365394,"CT 19, pl. 12, K 04143",Neo-Assyrian,Nineveh
P365395,"CT 19, pl. 13, K 07331",Neo-Assyrian,Nineveh
P365396,"CT 19, pl. 14-15, K 08662",Neo-Assyrian,Nineveh
P365397,"CT 19, pl. 15, K 05448a",Neo-Assyrian,Nineveh
P365398,"CT 19, pl. 16, DT 044",Neo-Assyrian,Nineveh
P365399,"CT 19, pl. 17-19, K 04386",Neo-Assyrian,Nineveh
P365401,"CT 19, pl. 21, K 04393",Neo-Assyrian,Nineveh
P365402,"CT 19, pl. 22, K 04361",Neo-Assyrian,Nineveh
P365403,"CT 19, pl. 23, Rm 0344",Middle Babylonian,Nineveh
P365404,"CT 19, pl. 23-24, Sm 0012 + CT 51, 160, 1932-12-12, 527",Neo-Assyrian,Nineveh
P365405,"CT 19, pl. 25, K 04309",Neo-Assyrian,Nineveh
P365406,"CT 19, pl. 26-27, K 02037a ? +",Neo-Assyrian,Nineveh
P365407,"CT 19, pl. 27, K 02061",Neo-Assyrian,Nineveh
P365408,"CT 19, pl. 28, K 05423a ?",Neo-Assyrian,Nineveh
P365409,"CT 19, pl. 29, K 04378",Neo-Assyrian,Nineveh
P365410,"CT 19, pl. 30, K 04580  + pl. 42, K 14079",Neo-Assyrian,Nineveh
P365411,"CT 19, pl. 30-32, K 00005",Neo-Assyrian,Nineveh
P365412,"CT 19, pl. 33, 1879-07-08, 030 +",Neo-Assyrian,Nineveh
P365413,"CT 19, pl. 34, Rm 0597",Neo-Assyrian,Nineveh
P365414,"CT 19, pl. 35, Sm 1808",Neo-Assyrian,Nineveh
P365416,"CT 19, pl. 37, Rm 2, 040",Neo-Assyrian,Nineveh
P365419,"CT 19, pl. 40, K 04876",Neo-Assyrian,Nineveh
P365421,"CT 19, pl. 42-43, K 00247",Neo-Assyrian,Nineveh
P365422,"CT 19, pl. 44, K 04226",Neo-Assyrian,Nineveh
P365426,"CT 19, pl. 48-49, K 00026",Neo-Assyrian,Nineveh
P365749,"CT 24, pl. 03-11",Neo-Assyrian,Nineveh
P365750,"CT 24, pl. 12-17",Neo-Assyrian,Nineveh
P365751,"CT 24, pl. 18",Neo-Assyrian,Nineveh
P365752,"CT 24, pl. 19",Neo-Assyrian,Nineveh
P365753,"CT 24, pl. 47",Neo-Assyrian,Nineveh
P365755,"CT 24, pl. 49",Neo-Assyrian,Nineveh
P365757,"CT 25, pl. 01-06, K 02597 +",Neo-Assyrian,Nineveh
P365763,"CT 25, pl. 07, K 07662",Neo-Assyrian,Nineveh
P365764,"CT 25, pl. 08, K 4349k +",Neo-Assyrian,Nineveh
P365765,"CT 25, pl. 09-14, K 04339",Neo-Assyrian,Nineveh
P365771,"CT 25, pl. 16-18, K 02100",Neo-Assyrian,Nineveh
P365775,"CT 25, pl. 19, Sm 1447",Neo-Assyrian,Nineveh
P365776,"CT 25, pl. 19-20, K 00215 +",Neo-Assyrian,Nineveh
P365777,"CT 25, pl. 21, Rm 2, 0032",Neo-Assyrian,Nineveh
P365778,"CT 25, pl. 22-23, K 00266",Neo-Assyrian,Nineveh
P365779,"CT 25, pl. 23, K 06037",Neo-Assyrian,Nineveh
P365780,"CT 25, pl. 24, K 08219",Neo-Assyrian,Nineveh
P365783,"CT 25, pl. 27, K 02117",Neo-Assyrian,Nineveh
P365784,"CT 25, pl. 28, K 02115",Neo-Assyrian,Nineveh
P365785,"CT 25, pl. 29, K 02103 +",Neo-Assyrian,Nineveh
P365786,"CT 25, pl. 30, K 13671",Neo-Assyrian,Nineveh
P365787,"CT 25, pl. 31, K 02845",Neo-Assyrian,Nineveh
P365788,"CT 25, pl. 32, K 02124",Neo-Assyrian,Nineveh
P365789,"CT 25, pl. 33-34, K 04209",Neo-Assyrian,Nineveh
P365791,"CT 25, pl. 35, Rm 610",Neo-Assyrian,Nineveh
P365792,"CT 25, pl. 36, K 00029",Neo-Assyrian,Nineveh
P365793,"CT 25, pl. 37-38, K 02108",Neo-Assyrian,Nineveh
P365795,"CT 25, pl. 39, K 07643",Neo-Assyrian,Nineveh
P365796,"CT 25, pl. 40, K 07652",Neo-Assyrian,Nineveh
P365797,"CT 25, pl. 40-41, K 00204",Neo-Assyrian,Nineveh
P365798,"CT 25, pl. 42, K 04559",Neo-Assyrian,Nineveh
P365799,"CT 25, pl. 43, K 04210",Neo-Assyrian,Nineveh
P365800,"CT 25, pl. 44, K 07650",Neo-Assyrian,Nineveh
P365801,"CT 25, pl. 45, K 08228",Neo-Assyrian,Nineveh
P365802,"CT 25, pl. 46, K 07653",Neo-Assyrian,Nineveh
P365804,"CT 25, pl. 48, K 04366",Neo-Assyrian,Nineveh
P365805,"CT 25, pl. 49, K 01451",Neo-Assyrian,Nineveh
P365806,"CT 25, pl. 50, K 00170",Neo-Assyrian,Nineveh
P366073,"CT 38, pl. 14, K 21801",Neo-Assyrian,Nineveh
P368209,"IrAnt 26, 039 no. 124",Middle Babylonian,Kabnak
P368210,"IrAnt 26, 039 no. 126",Middle Babylonian,Kabnak
P368235,"OECT 11, 139",Neo-Babylonian,Kish
P368271,"SCIAMVS 05, 058 no. 35",Neo-Babylonian,Kish
P368616,"CT 25, pl. 07, K 07663",Neo-Assyrian,Nineveh
P368617,"CT 25, pl. 07, K 13665",Neo-Assyrian,Nineveh
P368619,"CT 25, pl. 15,, Bu 1889-04-26, 115",Neo-Assyrian,Nineveh
P368620,"CT 19, pl. 11, Sm 0190 + CT 25, pl. 20 &amp; 23, DT 115",Neo-Assyrian,Nineveh
P368621,"CT 25, pl. 24, K 07620",Neo-Assyrian,Nineveh
P368622,"CT 25, pl. 27, K 04365",Neo-Assyrian,Nineveh
P368623,"CT 25, pl. 27, K 08308",Neo-Assyrian,Nineveh
P368624,"CT 25, pl. 28, Bu 1889-04-26, 077",Neo-Assyrian,Nineveh
P368625,"CT 25, pl. 28, K 07659",Neo-Assyrian,Nineveh
P368626,"CT 25, pl. 29, Rm 2, 0289",Neo-Assyrian,Nineveh
P368627,"CT 25, pl. 30-31, K 02109 +",Neo-Assyrian,Nineveh
P368628,"CT 25, pl. 31, K 07648",Neo-Assyrian,Nineveh
P368629,"CT 25, pl. 32, K 07657",Neo-Assyrian,Nineveh
P368630,"CT 25, pl. 32, K 07688",Neo-Assyrian,Nineveh
P368631,"CT 25, pl. 33, K 13666",Neo-Assyrian,Nineveh
P368632,"CT 25, pl. 34, K 13674",Neo-Assyrian,Nineveh
P368633,"CT 25, pl. 38, K 11197",Neo-Assyrian,Nineveh
P368634,"CT 25, pl. 38, K 11928",Neo-Assyrian,Nineveh
P368635,"CT 25, pl. 38, Sm 0115",Neo-Assyrian,Nineveh
P368636,"CT 25, pl. 38, 1882-05-22, 573",Neo-Assyrian,Nineveh
P368637,"CT 25, pl. 39, K 02119",Neo-Assyrian,Nineveh
P368638,"CT 25, pl. 39, K 02098",Neo-Assyrian,Nineveh
P368639,"CT 25, pl. 40, 1882-03-23, 5217",Neo-Assyrian,Nineveh
P368640,"CT 25, pl. 41, K 07651",Neo-Assyrian,Nineveh
P368641,"CT 25, pl. 41, K 13682",Neo-Assyrian,Nineveh
P368642,"CT 25, pl. 42, K 02114",Neo-Assyrian,Nineveh
P368643,"CT 25, pl. 42, K 13706",Neo-Assyrian,Nineveh
P368644,"CT 25, pl. 43, 1891-05-09, 0153",Neo-Assyrian,Nineveh
P368645,"CT 25, pl. 43, K 13672",Neo-Assyrian,Nineveh
P368646,"CT 25, pl. 44, K 07649",Neo-Assyrian,Nineveh
P368647,"CT 25, pl. 44, Sm 0849",Neo-Assyrian,Nineveh
P368648,"CT 25, pl. 44, Sm 1558",Neo-Assyrian,Nineveh
P368650,"CT 25, pl. 45, Sm 0173",Neo-Assyrian,Nineveh
P368651,"CT 25, pl. 45, Bu 1891-05-09, 159",Neo-Assyrian,Nineveh
P368652,"CT 25, pl. 45, 1879-07-08, 164",Neo-Assyrian,Nineveh
P368653,"CT 25, pl. 46, K 07658",Neo-Assyrian,Nineveh
P368654,"CT 25, pl. 46, K 07686",Neo-Assyrian,Nineveh
P368655,"CT 25, pl. 46, K 07722",Neo-Assyrian,Nineveh
P368656,"CT 25, pl. 46, K 12786",Neo-Assyrian,Nineveh
P368657,"CT 25, pl. 46, K 13678",Neo-Assyrian,Nineveh
P368658,"CT 25, pl. 46, K 13703",Neo-Assyrian,Nineveh
P368659,"CT 25, pl. 46, Sm 0078 + Sm 1078",Neo-Assyrian,Nineveh
P368660,"CT 25, pl. 46, 1880-07-19, 131",Neo-Assyrian,Nineveh
P368672,Christie&apos;s NYC 20070510b,Old Babylonian,uncertain
P368704,LB 3510,Old Akkadian,not entered
P368741,"TMN p. 333, Ist Ni 03367",Old Babylonian,Nippur
P368765,"TMN p. 336, Ist Ni 03634",Old Babylonian,Nippur
P368872,"TMN p. 345, Ist Ni 05168",Old Babylonian,Nippur
P368930,TMN p. 355 Ist Ni 10208,Old Babylonian,Nippur
P368987,VAT 10175,Middle Assyrian,Assur
P368988,VAT 09532,Middle Assyrian,Assur
P368989,VAT 08755,Middle Assyrian,Assur
P368990,K 14114,Neo-Assyrian,Nineveh
P368991,Ist Si 0109,Old Babylonian,Sippar
P369429,"Oriento 23/2, 1-19",Middle Babylonian,Emar
P369709,OBTI 279,Old Babylonian,Nerebtum
P369714,OBTI 285,Old Babylonian,Nerebtum
P369715,OBTI 286,Old Babylonian,Nerebtum
P369716,OBTI 287,Old Babylonian,Nerebtum
P369717,OBTI 289,Old Babylonian,Nerebtum
P369718,OBTI 290,Old Babylonian,Nerebtum
P369753,VAT 10533,Middle Assyrian,Assur
P369754,"MDP 27, 001",Old Babylonian,Susa
P369755,"MDP 27, 002",Old Babylonian,Susa
P369756,"MDP 27, 003",Old Babylonian,Susa
P369757,"MDP 27, 004",Old Babylonian,Susa
P369780,"MDP 27, 027",Old Babylonian,Susa
P369782,"MDP 27, 029",Old Babylonian,Susa
P369784,"Schülertexte aus Susa, 241",Old Babylonian,Susa
P369785,"MDP 27, 032",Old Babylonian,Susa
P369786,"MDP 27, 033",Old Babylonian,Susa
P369787,"MDP 27, 034",Old Babylonian,Susa
P369788,"MDP 27, 035",Old Babylonian,Susa
P369789,"MDP 27, 036",Old Babylonian,Susa
P369790,"MDP 27, 037",Old Babylonian,Susa
P369792,"MDP 27, 040",Old Babylonian,Susa
P369793,"MDP 27, 041",Old Babylonian,Susa
P369794,"MDP 27, 042",Old Babylonian,Susa
P369795,"MDP 27, 043",Old Babylonian,Susa
P369796,"MDP 27, 045",Old Babylonian,Susa
P369797,"MDP 27, 046",Old Babylonian,Susa
P369798,"MDP 27, 047",Old Babylonian,Susa
P369799,"MDP 27, 048",Old Babylonian,Susa
P369800,"MDP 27, 049",Old Babylonian,Susa
P369801,"MDP 27, 050",Old Babylonian,Susa
P369802,"MDP 27, 051",Old Babylonian,Susa
P369803,"MDP 27, 052",Old Babylonian,Susa
P369805,"MDP 27, 054",Old Babylonian,Susa
P369806,"MDP 27, 055",Old Babylonian,Susa
P369807,"MDP 27, 056",Old Babylonian,Susa
P369808,"MDP 27, 057",Old Babylonian,Susa
P369809,"MDP 27, 058",Old Babylonian,Susa
P369810,"MDP 27, 062",Old Babylonian,Susa
P369812,"MDP 27, 064",Old Babylonian,Susa
P369813,"MDP 27, 065",Old Babylonian,Susa
P369815,"MDP 27, 067",Old Babylonian,Susa
P369816,"MDP 27, 068",Old Babylonian,Susa
P369817,"MDP 27, 069",Old Babylonian,Susa
P369818,"MDP 27, 070",Old Babylonian,Susa
P369819,"MDP 27, 071",Old Babylonian,Susa
P369820,"MDP 27, 072",Old Babylonian,Susa
P369821,"MDP 27, 073",Old Babylonian,Susa
P369822,"MDP 27, 074",Old Babylonian,Susa
P369825,"MDP 27, 077",Old Babylonian,Susa
P369826,"MDP 27, 078",Old Babylonian,Susa
P369827,"MDP 27, 079",Old Babylonian,Susa
P369828,"MDP 27, 080",Old Babylonian,Susa
P369831,"MDP 27, 083",Old Babylonian,Susa
P369833,"MDP 27, 085",Old Babylonian,Susa
P369843,"MDP 27, 095",Old Babylonian,Susa
P369856,"MDP 27, 108",Old Babylonian,Susa
P369868,"MDP 27, 120",Old Babylonian,Susa
P369874,"MDP 27, 126",Old Babylonian,Susa
P369922,"MDP 27, 175",Old Babylonian,Susa
P369923,"MDP 27, 176",Old Babylonian,Susa
P369924,"MDP 27, 177",Old Babylonian,Susa
P369934,"MDP 27, 187",Old Babylonian,Susa
P369935,"MDP 27, 188",Old Babylonian,Susa
P369936,"MDP 27, 189",Old Babylonian,Susa
P369937,"MDP 27, 190",Old Babylonian,Susa
P369939,"MDP 27, 192",Old Babylonian,Susa
P369941,"MDP 27, 195",Old Babylonian,Susa
P369942,"MDP 27, 197",Old Babylonian,Susa
P369944,"MDP 27, 199",Old Babylonian,Susa
P369961,"MDP 27, 218",Old Babylonian,Susa
P369962,"MDP 27, 219",Old Babylonian,Susa
P369974,"MDP 27, 231",Old Babylonian,Susa
P369975,"MDP 27, 232",Old Babylonian,Susa
P369976,"MDP 27, 233",Old Babylonian,Susa
P369977,"MDP 27, 234",Old Babylonian,Susa
P369979,"Schülertexte aus Susa, 225",Old Babylonian,Susa
P369980,"MDP 27, 237",Old Babylonian,Susa
P369981,"MDP 27, 238",Old Babylonian,Susa
P369982,"MDP 27, 239",Old Babylonian,Susa
P369994,"MDP 27, 251",Old Babylonian,Susa
P369995,"MDP 27, 252",Old Babylonian,Susa
P369996,"MDP 27, 254",Old Babylonian,Susa
P369997,"MDP 27, 257",Old Babylonian,Susa
P370003,"MDP 27, 241",Old Babylonian,Susa
P370039,"MDP 18, 003",Old Akkadian,Susa
P370053,"MDP 18, 017",Old Babylonian,Susa
P370054,"MDP 18, 018",Old Babylonian,Susa
P370056,"MDP 18, 020",Old Babylonian,Susa
P370057,"MDP 18, 022",Old Babylonian,Susa
P370069,"MDP 18, 035",Old Babylonian,Susa
P370075,"MDP 18, 041",Old Babylonian,Susa
P370076,"MDP 18, 042",Old Babylonian,Susa
P370077,"MDP 18, 043",Old Babylonian,Susa
P370087,"MDP 18, 053",Old Babylonian,Susa
P370088,"MDP 18, 054",Old Babylonian,Susa
P370090,"MDP 18, 056",Old Babylonian,Susa
P370094,"MDP 18, 060",Old Babylonian,Susa
P370095,"MDP 18, 061",Old Babylonian,Susa
P370096,"MDP 18, 062",Old Babylonian,Susa
P370097,"MDP 18, 063",Old Babylonian,Susa
P370098,"MDP 18, 064",Old Babylonian,Susa
P370324,"Fs Steve 149, TS. B ex 034",Old Babylonian,Susa
P370325,"LTBA 1, 01",not entered,Assur
P370326,"LTBA 1, 03",not entered,Assur
P370327,"LTBA 1, 02 + 05",not entered,Assur
P370328,"LTBA 1, 04",not entered,Assur
P370330,"LTBA 1, 06",not entered,Assur
P370331,"LTBA 1, 07",not entered,Assur
P370332,"LTBA 1, 08",not entered,Assur
P370333,"LTBA 1, 09",not entered,Assur
P370334,"LTBA 1, 10",not entered,Assur
P370336,"LTBA 1, 12",not entered,Assur
P370337,"LTBA 1, 13",not entered,Assur
P370339,"LTBA 1, 15",Middle Assyrian,Assur
P370340,"LTBA 1, 16 +",not entered,Assur
P370341,"LTBA 1, 18",not entered,Assur
P370342,"LTBA 1, 19",not entered,Assur
P370343,"LTBA 1, 20",not entered,Assur
P370344,"LTBA 1, 21",not entered,Assur
P370345,"LTBA 1, 22",not entered,Assur
P370346,"LTBA 1, 23",not entered,Babylon
P370347,VAT 11175 + VAT 11764,not entered,Assur
P370348,"LTBA 1, 25",not entered,Assur
P370349,"LTBA 1, 26",not entered,Assur
P370350,"LTBA 1, 27",not entered,Assur
P370351,"LTBA 1, 28",not entered,Assur
P370352,"LTBA 1, 29",not entered,Assur
P370353,"LTBA 1, 30",not entered,Assur
P370354,"LTBA 1, 31",not entered,Assur
P370355,"LTBA 1, 32",not entered,Assur
P370356,"LTBA 1, 33",not entered,Assur
P370357,"LTBA 1, 34",not entered,Assur
P370359,"LTBA 1, 36",not entered,Assur
P370361,"LTBA 1, 38",not entered,Assur
P370363,"LTBA 1, 40",not entered,Assur
P370364,"LTBA 1, 41",not entered,Assur
P370365,"LTBA 1, 42",not entered,Assur
P370369,"LTBA 1, 46",not entered,Assur
P370370,"LTBA 1, 47",not entered,Assur
P370371,"LTBA 1, 48",not entered,Assur
P370373,"LTBA 1, 50",not entered,Assur
P370375,"LTBA 1, 52",not entered,Assur
P370376,"LTBA 1, 53",not entered,Assur
P370377,"LTBA 1, 54",not entered,Assur
P370378,"LTBA 1, 55",not entered,Assur
P370379,"LTBA 1, 56",not entered,Assur
P370382,"LTBA 1, 61",not entered,Assur
P370388,"LTBA 1, 68",not entered,not entered
P370389,"LTBA 1, 69",Middle Babylonian,Assur
P370391,"LTBA 1, 71",not entered,not entered
P370395,"LTBA 1, 75",not entered,Assur
P370397,"LTBA 1, 77",not entered,Assur
P370399,"LTBA 1, 79",Old Babylonian,unclear
P370401,"LTBA 1, 81",Old Babylonian,Uruk
P370402,"LTBA 1, 82",not entered,not entered
P370403,"LTBA 1, 83",not entered,Assur
P370404,"LTBA 1, 84",not entered,Assur
P370405,"LTBA 1, 86",not entered,Assur
P370406,"LTBA 1, 87",not entered,Assur
P370408,"LTBA 1, 89",not entered,Assur
P370411,SA Vokabular Ass. 523,Middle Assyrian,Assur
P370415,"AOTU 1/1, 69-70",Neo-Assyrian,Nineveh
P370416,"AOTU 1/1, 71",Neo-Assyrian,Nineveh
P370418,"MVAG 18/6, 72-78",Neo-Assyrian,Nineveh
P370419,"CM 22, pl. 12",Old Babylonian,uncertain
P370907,"CT 11, pl. 09, K 00262 +",Neo-Assyrian,Nineveh
P373744,K 17523,Neo-Assyrian,Nineveh
P373745,Sm 0494,Neo-Assyrian,Nineveh
P373751,BM 030041 + BM 090906,Old Babylonian,uncertain
P373752,BM 053770,Neo-Babylonian,uncertain
P373762,"JANES 04, 34-35",Neo-Babylonian,uncertain
P373770,"JANES 21, 85 18",Middle Babylonian,unclear
P373780,VAT 10216,Neo-Assyrian,Assur
P373781,"MSL 12, 91 D",Neo-Assyrian,Nineveh
P373782,BM 037526,Neo-Babylonian,uncertain
P373783,"MSL 12, 91 L",Middle Babylonian,Nippur
P373784,"MSL 12, 92 B&apos;",Neo-Assyrian,Nineveh
P373785,"MSL 12, 92 O",Neo-Assyrian,Nineveh
P373786,"MSL 12, 92 Q",Neo-Assyrian,Nineveh
P373787,BM 040663 + BM 040670 + BM 040690,Neo-Babylonian,uncertain
P373788,"CT 19, pl. 41, K 04560 + MSL 12, 92 U",Neo-Assyrian,Nineveh
P373789,"MSL 12, 92 Z (+) A&apos;",Neo-Assyrian,Nineveh
P373790,"RA 017, 119 (K 00945)",Neo-Assyrian,Nineveh
P373792,"RA 017, 123 (K 04165)",Neo-Assyrian,Nineveh
P373793,"RA 017, 124 (K 02044) _ RA 017, 183 (DT 103)",Neo-Assyrian,Nineveh
P373795,"RA 017, 127 (K 02740)",Neo-Assyrian,Nineveh
P373800,"RA 017, 133 (K 04161)",Neo-Assyrian,Nineveh
P373803,"RA 017, 138 (K 04189)",Neo-Assyrian,Nineveh
P373806,"RA 017, 143 (K 04264)",Neo-Assyrian,Nineveh
P373807,"RA 017, 143 (K 04428)",Neo-Assyrian,Nineveh
P373808,"RA 017, 143 (K 04578)",Neo-Assyrian,Nineveh
P373810,"RA 017, 144 (K 04596)",Neo-Assyrian,Nineveh
P373811,"RA 017, 145 (K 04599)",Neo-Assyrian,Nineveh
P373816,"RA 017, 149 (K 05455a)",Neo-Assyrian,Nineveh
P373817,"RA 017, 149 (K 05926)",Neo-Assyrian,Nineveh
P373827,"RA 017, 156 (K 07696)",Neo-Assyrian,Nineveh
P373830,"RA 017, 156 (K 07766)",Neo-Assyrian,Nineveh
P373837,"RA 017, 159 (K 08305)",Neo-Assyrian,Nineveh
P373840,"RA 017, 160 (K 08431)",Neo-Assyrian,Nineveh
P373841,"RA 017, 160 (K 08631)",Neo-Assyrian,Nineveh
P373842,"RA 017, 160 (K 08781)",Neo-Assyrian,Nineveh
P373845,"RA 017, 162 (K 09123)",Neo-Assyrian,Nineveh
P373846,"RA 017, 163 (K 09176)",Neo-Assyrian,Nineveh
P373848,"RA 017, 164 (K 09887)",Neo-Assyrian,Nineveh
P373849,"RA 017, 165 (K 09922)",Neo-Assyrian,Nineveh
P373850,"RA 017, 166 (K 09935)",Neo-Assyrian,Nineveh
P373851,"RA 017, 166 (K 09936)",Neo-Assyrian,Nineveh
P373852,"RA 017, 166 (K 09939)",Neo-Assyrian,Nineveh
P373853,"RA 017, 167 (K 09947)",Neo-Assyrian,Nineveh
P373856,"RA 017, 168 (K 10013)",Neo-Assyrian,Nineveh
P373857,"RA 017, 168 (K 10047)",Neo-Assyrian,Nineveh
P373858,"RA 017, 168 (K 10921)",Neo-Assyrian,Nineveh
P373859,"RA 017, 168 (K 11154)",Neo-Assyrian,Nineveh
P373863,"RA 017, 169 (K 11206)",Neo-Assyrian,Nineveh
P373864,"RA 017, 170 (K 11215)",Neo-Assyrian,Nineveh
P373866,"RA 017, 170 (K 11890+)",Neo-Assyrian,Nineveh
P373867,"RA 017, 170 (K 12848)",Neo-Assyrian,Nineveh
P373872,"RA 017, 171 (K 13637)",Neo-Assyrian,Nineveh
P373873,"RA 017, 171 (K 13639)",Neo-Assyrian,Nineveh
P373874,"RA 017, 172 (K 13643)",Neo-Assyrian,Nineveh
P373875,"RA 017, 172 (K 13687)",Neo-Assyrian,Nineveh
P373876,"RA 017, 172 (K 14330)",Neo-Assyrian,Nineveh
P373878,"RA 017, 172 (K 14490)",Neo-Assyrian,Nineveh
P373879,"RA 017, 172 (K 14491)",Neo-Assyrian,Nineveh
P373880,"RA 017, 172 (K 14536)",Neo-Assyrian,Nineveh
P373884,"RA 017, 173 (K 14811)",Neo-Assyrian,Nineveh
P373886,"RA 017, 173 (K 14817)",Neo-Assyrian,Nineveh
P373887,"RA 017, 173 (K 14824)",Neo-Assyrian,Nineveh
P373890,"RA 017, 174 (K 14908)",Neo-Assyrian,Nineveh
P373891,"RA 017, 174 (K 14909)",Neo-Assyrian,Nineveh
P373892,"RA 017, 174 (K 15153)",Neo-Assyrian,Nineveh
P373893,"RA 017, 174 (K 15338)",Neo-Assyrian,Nineveh
P373894,"RA 017, 174 (K 15368)",Neo-Assyrian,Nineveh
P373900,"RA 017, 179 (Sm 0305)",Neo-Assyrian,Nineveh
P373902,"RA 017, 181 (Sm 1544)",Neo-Assyrian,Nineveh
P373903,"RA 017, 181 (Sm 1670)",Neo-Assyrian,Nineveh
P373905,"RA 017, 182 (Sm 1711)",Neo-Assyrian,Nineveh
P373907,"RA 017, 183 (Rm 0361)",Neo-Assyrian,Nineveh
P373908,"RA 017, 183 (RM 0930)",Neo-Assyrian,Nineveh
P373912,"RA 017, 187 (Rm 2, 478)",Neo-Assyrian,Nineveh
P373913,"RA 017, 187 (Rm 2, 556)",Neo-Assyrian,Nineveh
P373915,"RA 017, 188 (1881-02-04, 447)",Neo-Assyrian,Nineveh
P373919,"RA 017, 189 (1882-03-23, 149)",Neo-Assyrian,Nineveh
P373927,"RA 017, 195-196 (Ki 1904-10-09, 066)",Middle Babylonian,Nineveh
P373929,"RA 017, 197-198 (Th 1905-04-09, 001)",Neo-Assyrian,Nineveh
P373932,"RA 017, 201-202 (Th 1905-04-09, 018)",Neo-Assyrian,Nineveh
P373934,"RA 017, 202 (Th 1905-04-09, 031+)",Neo-Assyrian,Nineveh
P373936,"RA 017, 203 (Th 1905-04-09, 051)",Neo-Assyrian,Nineveh
P381749,VAT 08880,Middle Assyrian,Assur
P381750,VAT 09425,Middle Assyrian,Assur
P381751,VAT 09430,Middle Assyrian,Assur
P381752,VAT 09498,Middle Assyrian,Assur
P381753,VAT 09503,Middle Assyrian,Assur
P381754,VAT 09528,Middle Assyrian,Assur
P381755,VAT 09529,Middle Assyrian,Assur
P381756,KADP 38,Middle Assyrian,Assur
P381757,VAT 09534,Middle Assyrian,Assur
P381758,"AOAT 267, 127, text D",Middle Assyrian,Assur
P381759,VAT 09548,Middle Assyrian,Assur
P381760,VAT 09581,Middle Assyrian,Assur
P381761,VAT 09589,Neo-Assyrian,Assur
P381762,VAT 09592,Middle Assyrian,Assur
P381763,VAT 09711,Neo-Assyrian,Assur
P381764,VAT 09715,Neo-Assyrian,Assur
P381765,VAT 09719,Middle Assyrian,Assur
P381766,VAT 09822,Middle Assyrian,Assur
P381767,VAT 09914,Neo-Assyrian,Assur
P381768,VAT 10061,Neo-Assyrian,Assur
P381769,VAT 10062,Middle Assyrian,Assur
P381770,BWL Pl. 73 VAT 10071,Neo-Assyrian,Assur
P381771,VAT 10222,Neo-Assyrian,Assur
P381772,VAT 10232,Neo-Assyrian,Assur
P381773,VAT 10234,Middle Assyrian,Assur
P381774,VAT 10240,Middle Assyrian,Assur
P381775,VAT 10242,Neo-Assyrian,Assur
P381777,VAT 10254,Neo-Assyrian,Assur
P381778,VAT 10256,Neo-Assyrian,Assur
P381779,VAT 10263,Neo-Assyrian,Assur
P381781,VAT 10334,Middle Assyrian,Assur
P381782,VAT 10371,Neo-Assyrian,Assur
P381784,VAT 10384,Middle Assyrian,Assur
