"","doc1","doc2","distance"
"754","P346714","P389511",1
"756","P346714","P429504",1
"758","P346714","P437074",1
"763","P346714","P459226",1
"764","P346714","P492330",1
"765","P346714","Q000001",1
"770","P347814","P389511",1
"771","P347814","P429503",1
"772","P347814","P429504",1
"773","P347814","P432448",1
"775","P347814","P447996",1
"776","P347814","P459216",1
"779","P347814","P459226",1
"780","P347814","P492330",1
"781","P347814","Q000001",1
"783","P347814","X100003",1
"785","P370399","P389511",1
"787","P370399","P429504",1
"788","P370399","P432448",1
"794","P370399","P459226",1
"795","P370399","P492330",1
"796","P370399","Q000001",1
"798","P370399","X100003",1
"809","P388265","P492330",1
"810","P388265","Q000001",1
"814","P389511","P429504",1
"816","P389511","P437074",1
"820","P389511","P459218",1
"822","P389511","P492330",1
"823","P389511","Q000001",1
"826","P429503","P429504",1
"832","P429503","P459218",1
"834","P429503","P492330",1
"835","P429503","Q000001",1
"838","P429504","P432448",1
"841","P429504","P459216",1
"843","P429504","P459218",1
"844","P429504","P459226",1
"845","P429504","P492330",1
"846","P429504","Q000001",1
"848","P429504","X100003",1
"849","P432448","P437074",1
"853","P432448","P459218",1
"855","P432448","P492330",1
"856","P432448","Q000001",1
