sheep,ewe,goat,lamb,kid,ox,young,equid,donkey,equid,donkey,snake,lion_lioness,dog,tiger_wild-animal,dog,cat,monkey,gazelle,animal,goat_ram,elephant,multitude,insect,fly,locust,rodent,mongoose_sorcerer,turtle,pig,ant,animal,scorpion,frog,flesh
udu[sheep]n_šag[heart]n_sur[press]v/t,NA,NA,NA,NA,gud[ox]n_ab[cow]n_hi[mix]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_niŋ₂-pa[na]na
udu[sheep]n_du[push]v/t,NA,NA,NA,NA,ab[cow]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_e[house]n_ur[roof]n
udu[sheep]n_gurgur[~animal]n,NA,NA,NA,NA,ab[cow]n_šilam[cow]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_e[house]n_šag[heart]n
udu[sheep]n_ur[roof]n,NA,NA,NA,NA,ab[cow]n_peš[thick]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n
udu[sheep]n_ne[na]na_ur[roof]n,NA,NA,NA,NA,ab[cow]n_šar[~cow]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šagmah[intestine]n
udu[sheep]n_nim[high]v/i,NA,NA,NA,NA,ab[cow]n_suhub[~oxen]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šagsig[weft]n
udu[sheep]n_nim[high]v/i,NA,NA,NA,NA,ab[cow]n_ubur[breast]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n_eninnu[1]tn
udu[sheep]n_saŋ[head]n_nim[high]v/i,NA,NA,NA,NA,ab[cow]n_utud[bear]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šaggar[meat]n
udu[sheep]n_saʾadgal[disease]n,NA,NA,NA,NA,ab[cow]n_utud[bear]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n_lugal[king]n_tuku[acquire]v/t
udu[sheep]n_saʾadnim[disease]n,NA,NA,NA,NA,ab[cow]n_ŋeš[penis]n_zu[know]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n_šu[hand]n_niŋin[encircle]v/t
udu[sheep]n_siʾilla[inspection]n,NA,NA,NA,NA,ab[cow]n_ŋeš[penis]n_zu[know]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n_lub[bag]n
udu[sheep]n_si[horn]n_min[two]nu_la[hang]v/t,NA,NA,NA,NA,ab[cow]n_ib[hips]n_gig[sick]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n_dub[heap]v/t
udu[sheep]n_zusiga[~sheep]n,NA,NA,NA,NA,ab[cow]n_šag[heart]n_sur[press]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šag[heart]n_us[follow]v/t
udu[sheep]n_zusiga[~sheep]n_kur[mountain]n,NA,NA,NA,NA,ab[cow]n_mah[mature]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_mehi[tissue]n
udu[sheep]n_zusiga[~sheep]n_mar.tu[westerner]n,NA,NA,NA,NA,ab[cow]n_šugi[senior]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_mur[lung]n
