doc_A,doc_B,dist
P459217,P459217,0.285714285714286
P459217,P459218,8
P459217,Q000039,1.71428571428571
P459218,P235262,8
P459218,P247864,4
P459218,P250364,3
P459218,P253228,4
P459218,P253233,8
P459218,P253238,8
P459218,P253866,4
P459218,P271301,8
P459218,P271771,8
P459218,P271911,2
P459218,P273880,3.27272727272727
P459218,P332934,8
P459218,P346714,3.14285714285714
P459218,P347814,3.42857142857143
P459218,P370399,4
P459218,P388265,3
P459218,P429503,8
P459218,P437074,8
P459218,P447996,8
P459218,P459216,8
P459218,P459217,8
P459218,P459218,0.428571428571428
P459218,Q000039,1.28571428571429
Q000039,P235262,2.85714285714286
Q000039,P247864,3.33333333333333
Q000039,P250364,4
Q000039,P253228,3.71428571428571
Q000039,P253233,3
Q000039,P253238,0.666666666666667
Q000039,P253866,3.38461538461538
Q000039,P271301,1.35
Q000039,P271771,2.57142857142857
Q000039,P271911,2.34285714285714
Q000039,P273880,3.29032258064516
Q000039,P332934,2.17391304347826
Q000039,P346714,3.29411764705882
Q000039,P347814,3.36363636363636
Q000039,P370399,3.33333333333333
Q000039,P388265,3.38095238095238
Q000039,P429503,2.53333333333333
Q000039,P437074,2.44444444444444
Q000039,P447996,3.1
Q000039,P459216,2.6
Q000039,P459217,1.71428571428571
Q000039,P459218,1.28571428571429
Q000039,Q000039,0
